x:0.323106, y:0.906434, z:0.271991, w:0.000000
x:0.356169, y:0.922949, z:0.145979, w:0.000000
x:0.392914, y:0.914369, z:0.097712, w:0.000000
x:0.429748, y:0.900355, z:0.068390, w:0.000000
x:0.466122, y:0.883292, z:0.050253, w:0.000000
x:0.501780, y:0.864058, z:0.040268, w:0.000000
x:0.536559, y:0.843060, z:0.036808, w:0.000000
x:0.570335, y:0.820488, z:0.038957, w:0.000000
x:0.602998, y:0.796406, z:0.046157, w:0.000000
x:0.634439, y:0.770787, z:0.058088, w:0.000000
x:0.664541, y:0.743512, z:0.074668, w:0.000000
x:0.693165, y:0.714355, z:0.096014, w:0.000000
x:0.720132, y:0.682936, z:0.122509, w:0.000000
x:0.745186, y:0.648582, z:0.155050, w:0.000000
x:0.767903, y:0.610002, z:0.195507, w:0.000000
x:0.787359, y:0.563916, z:0.249128, w:0.000000
x:0.797602, y:0.484992, z:0.358627, w:0.000000
x:0.155712, y:0.970682, z:0.183110, w:0.000000
x:0.191411, y:0.979375, z:0.064699, w:0.000000
x:0.230778, y:0.973005, z:0.001593, w:0.000000
x:0.270768, y:0.961749, z:-0.041515, w:0.000000
x:0.310667, y:0.947749, z:-0.072513, w:0.000000
x:0.350149, y:0.931880, z:-0.094845, w:0.000000
x:0.389026, y:0.914592, z:-0.110362, w:0.000000
x:0.427169, y:0.896141, z:-0.120240, w:0.000000
x:0.464484, y:0.876673, z:-0.125298, w:0.000000
x:0.500892, y:0.856281, z:-0.126060, w:0.000000
x:0.536325, y:0.835011, z:-0.122930, w:0.000000
x:0.570719, y:0.812879, z:-0.116223, w:0.000000
x:0.604011, y:0.789876, z:-0.106140, w:0.000000
x:0.636137, y:0.765971, z:-0.092831, w:0.000000
x:0.667027, y:0.741107, z:-0.076390, w:0.000000
x:0.696602, y:0.715200, z:-0.056868, w:0.000000
x:0.724773, y:0.688137, z:-0.034228, w:0.000000
x:0.751433, y:0.659756, z:-0.008377, w:0.000000
x:0.776448, y:0.629837, z:0.020838, w:0.000000
x:0.799645, y:0.598062, z:0.053767, w:0.000000
x:0.820783, y:0.563953, z:0.090950, w:0.000000
x:0.839508, y:0.526738, z:0.133314, w:0.000000
x:0.855214, y:0.484995, z:0.182728, w:0.000000
x:0.866609, y:0.435418, z:0.243722, w:0.000000
x:0.868407, y:0.363048, z:0.337735, w:0.000000
x:0.023736, y:0.987953, z:0.152924, w:0.000000
x:0.059638, y:0.998066, z:0.017525, w:0.000000
x:0.100454, y:0.993272, z:-0.057609, w:0.000000
x:0.142351, y:0.983608, z:-0.110685, w:0.000000
x:0.184427, y:0.971255, z:-0.150499, w:0.000000
x:0.226280, y:0.957117, z:-0.180899, w:0.000000
x:0.267686, y:0.941660, z:-0.204010, w:0.000000
x:0.308498, y:0.925161, z:-0.221149, w:0.000000
x:0.348614, y:0.907789, z:-0.233213, w:0.000000
x:0.387956, y:0.889645, z:-0.240879, w:0.000000
x:0.426458, y:0.870808, z:-0.244595, w:0.000000
x:0.464067, y:0.851319, z:-0.244743, w:0.000000
x:0.500731, y:0.831201, z:-0.241607, w:0.000000
x:0.536404, y:0.810464, z:-0.235411, w:0.000000
x:0.571040, y:0.789107, z:-0.226328, w:0.000000
x:0.604591, y:0.767107, z:-0.214514, w:0.000000
x:0.637010, y:0.744441, z:-0.200066, w:0.000000
x:0.668242, y:0.721067, z:-0.183073, w:0.000000
x:0.698230, y:0.696937, z:-0.163568, w:0.000000
x:0.726909, y:0.671981, z:-0.141580, w:0.000000
x:0.754204, y:0.646114, z:-0.117103, w:0.000000
x:0.780029, y:0.619223, z:-0.090097, w:0.000000
x:0.804279, y:0.591167, z:-0.060463, w:0.000000
x:0.826825, y:0.561757, z:-0.028085, w:0.000000
x:0.847503, y:0.530740, z:0.007289, w:0.000000
x:0.866096, y:0.497756, z:0.046010, w:0.000000
x:0.882297, y:0.462272, z:0.088633, w:0.000000
x:0.895644, y:0.423427, z:0.136130, w:0.000000
x:0.905338, y:0.379643, z:0.190353, w:0.000000
x:0.909656, y:0.327275, z:0.255769, w:0.000000
x:0.901598, y:0.250308, z:0.352799, w:0.000000
x:-0.073357, y:0.996114, z:0.048739, w:0.000000
x:-0.033599, y:0.997646, z:-0.059782, w:0.000000
x:0.009052, y:0.991251, z:-0.131676, w:0.000000
x:0.052554, y:0.981282, z:-0.185264, w:0.000000
x:0.096198, y:0.969168, z:-0.226848, w:0.000000
x:0.139636, y:0.955565, z:-0.259611, w:0.000000
x:0.182658, y:0.940853, z:-0.285363, w:0.000000
x:0.225127, y:0.925256, z:-0.305319, w:0.000000
x:0.266949, y:0.908912, z:-0.320338, w:0.000000
x:0.308047, y:0.891925, z:-0.331023, w:0.000000
x:0.348362, y:0.874359, z:-0.337847, w:0.000000
x:0.387844, y:0.856260, z:-0.341169, w:0.000000
x:0.426450, y:0.837650, z:-0.341295, w:0.000000
x:0.464137, y:0.818554, z:-0.338445, w:0.000000
x:0.500871, y:0.798969, z:-0.332832, w:0.000000
x:0.536613, y:0.778895, z:-0.324606, w:0.000000
x:0.571324, y:0.758330, z:-0.313887, w:0.000000
x:0.604968, y:0.737252, z:-0.300787, w:0.000000
x:0.637504, y:0.715635, z:-0.285405, w:0.000000
x:0.668887, y:0.693452, z:-0.267796, w:0.000000
x:0.699072, y:0.670666, z:-0.248003, w:0.000000
x:0.728005, y:0.647226, z:-0.226070, w:0.000000
x:0.755627, y:0.623070, z:-0.202019, w:0.000000
x:0.781871, y:0.598133, z:-0.175826, w:0.000000
x:0.806659, y:0.572320, z:-0.147480, w:0.000000
x:0.829900, y:0.545525, z:-0.116916, w:0.000000
x:0.851481, y:0.517605, z:-0.084053, w:0.000000
x:0.871267, y:0.488382, z:-0.048756, w:0.000000
x:0.889085, y:0.457613, z:-0.010840, w:0.000000
x:0.904709, y:0.424972, z:0.030005, w:0.000000
x:0.917826, y:0.389980, z:0.074240, w:0.000000
x:0.927976, y:0.351903, z:0.122579, w:0.000000
x:0.934407, y:0.309472, z:0.176384, w:0.000000
x:0.935673, y:0.260108, z:0.238451, w:0.000000
x:0.927789, y:0.196252, z:0.317322, w:0.000000
x:-0.167733, y:0.985773, z:0.010791, w:0.000000
x:-0.127055, y:0.986750, z:-0.100906, w:0.000000
x:-0.083368, y:0.980641, z:-0.177181, w:0.000000
x:-0.038704, y:0.971217, z:-0.235031, w:0.000000
x:0.006204, y:0.959773, z:-0.280710, w:0.000000
x:0.050980, y:0.946943, z:-0.317333, w:0.000000
x:0.095408, y:0.933075, z:-0.346796, w:0.000000
x:0.139341, y:0.918390, z:-0.370330, w:0.000000
x:0.182679, y:0.903028, z:-0.388804, w:0.000000
x:0.225345, y:0.887086, z:-0.402862, w:0.000000
x:0.267281, y:0.870628, z:-0.412998, w:0.000000
x:0.308437, y:0.853700, z:-0.419598, w:0.000000
x:0.348771, y:0.836339, z:-0.422962, w:0.000000
x:0.388245, y:0.818565, z:-0.423341, w:0.000000
x:0.426826, y:0.800386, z:-0.420954, w:0.000000
x:0.464481, y:0.781809, z:-0.415971, w:0.000000
x:0.501180, y:0.762833, z:-0.408539, w:0.000000
x:0.536891, y:0.743453, z:-0.398781, w:0.000000
x:0.571582, y:0.723661, z:-0.386793, w:0.000000
x:0.605220, y:0.703440, z:-0.372669, w:0.000000
x:0.637770, y:0.682763, z:-0.356490, w:0.000000
x:0.669194, y:0.661610, z:-0.338306, w:0.000000
x:0.699453, y:0.639953, z:-0.318160, w:0.000000
x:0.728501, y:0.617751, z:-0.296092, w:0.000000
x:0.756288, y:0.594958, z:-0.272128, w:0.000000
x:0.782758, y:0.571523, z:-0.246275, w:0.000000
x:0.807848, y:0.547380, z:-0.218534, w:0.000000
x:0.831484, y:0.522455, z:-0.188878, w:0.000000
x:0.853581, y:0.496655, z:-0.157268, w:0.000000
x:0.874036, y:0.469863, z:-0.123651, w:0.000000
x:0.892727, y:0.441933, z:-0.087937, w:0.000000
x:0.909502, y:0.412683, z:-0.049990, w:0.000000
x:0.924168, y:0.381865, z:-0.009618, w:0.000000
x:0.936471, y:0.349146, z:0.033459, w:0.000000
x:0.946061, y:0.314042, z:0.079659, w:0.000000
